"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SCGB2A1",7.58880696242945e-15,6.35995544722869,0.082,0.001,1.56769574229868e-10,"6","SCGB2A1"
"GABRP",8.1477074785037e-15,6.81807615873041,0.082,0.001,1.68315341090929e-10,"6","GABRP"
"NEURL3",1.40437770811092e-14,3.82188914387805,0.178,0.018,2.90116346941554e-10,"6","NEURL3"
"EPB41L4B",1.76610592838783e-14,3.13235357689893,0.137,0.009,3.64842162686358e-10,"6","EPB41L4B"
"ADGRF1",1.80917819245017e-14,4.50655798743154,0.123,0.007,3.73740030996355e-10,"6","ADGRF1"
"SLPI1",2.26265525567673e-14,2.20668369791304,0.795,0.57,4.67419322717699e-10,"6","SLPI"
"RAB151",2.33519706870655e-14,3.50048785327945,0.219,0.03,4.82405010453399e-10,"6","RAB15"
"MUC151",7.76614905476375e-14,2.59663570988612,0.205,0.026,1.6043310717331e-09,"6","MUC15"
"S100A41",8.87147863585033e-14,1.98841763240361,0.726,0.382,1.83267005659396e-09,"6","S100A4"
"CNGA1",1.5107276960551e-13,5.05309754912045,0.123,0.008,3.12086127451063e-09,"6","CNGA1"
"TMPRSS11E",1.75469394720499e-13,4.53944638420632,0.123,0.008,3.62484675613606e-09,"6","TMPRSS11E"
"CD633",1.7917784659272e-13,1.1363947525726,0.836,0.697,3.7014559549124e-09,"6","CD63"
"LCN21",1.82279310202053e-13,3.25939464467346,0.438,0.136,3.76552599015401e-09,"6","LCN2"
"KRT181",4.61988535584379e-13,1.7666047872513,0.726,0.525,9.5437591681021e-09,"6","KRT18"
"PRR15L1",5.01809489385629e-13,3.42466342666675,0.205,0.03,1.03663804317283e-08,"6","PRR15L"
"FOLR1",7.01609046387948e-13,6.19948365397799,0.082,0.002,1.44938396802822e-08,"6","FOLR1"
"RHPN2",7.31016453032903e-13,5.70618712604793,0.082,0.002,1.51013378867537e-08,"6","RHPN2"
"FAM46C",7.72291254320988e-13,3.75887181445728,0.178,0.022,1.5953992731763e-08,"6","FAM46C"
"VGLL1",8.09931322843838e-13,5.19368008499859,0.082,0.002,1.6731561267308e-08,"6","VGLL1"
"S100A112",1.27364894002214e-12,0.735714133430195,0.986,0.931,2.63110398029774e-08,"6","S100A11"
"NQO12",1.64652509748362e-12,1.82302803793075,0.452,0.145,3.40139154638167e-08,"6","NQO1"
"DEGS21",1.84841215614194e-12,2.34124679957278,0.26,0.049,3.81844983215802e-08,"6","DEGS2"
"FBP11",1.94393751632218e-12,2.87825196052061,0.288,0.062,4.01578612121837e-08,"6","FBP1"
"VAMP8",1.99117490924096e-12,1.30810846941035,0.822,0.67,4.11336912750997e-08,"6","VAMP8"
"NDUFA14",2.13001709223123e-12,1.11433871997333,0.863,0.696,4.40018930913128e-08,"6","NDUFA1"
"SPDEF",2.21353355816138e-12,5.30188979131591,0.164,0.019,4.57271762444978e-08,"6","SPDEF"
"MMEL1",2.57413464751621e-12,5.2794322830096,0.096,0.005,5.31764735483898e-08,"6","MMEL1"
"GPRC6A",3.08134941847786e-12,7.80646242953619,0.068,0.001,6.36545162869157e-08,"6","GPRC6A"
"MSLN",4.04910772726879e-12,3.67294234498859,0.247,0.048,8.36464674299186e-08,"6","MSLN"
"ARHGEF38",4.11307869625738e-12,8.45825852224219,0.055,0,8.49679797072849e-08,"6","ARHGEF38"
"TACSTD21",4.3112901246738e-12,1.46323411562116,0.753,0.688,8.90626313955113e-08,"6","TACSTD2"
"MUC4",5.58033713309795e-12,4.69686186584284,0.219,0.038,1.15278604495537e-07,"6","MUC4"
"SERF21",1.35304767765732e-11,0.681316547593473,0.904,0.906,2.79512589250448e-07,"6","SERF2"
"AZGP11",1.49749568593667e-11,4.07183208512182,0.137,0.014,3.09352658800797e-07,"6","AZGP1"
"SLC22A18AS",1.53311077346985e-11,3.93986113440747,0.137,0.014,3.16710023583403e-07,"6","SLC22A18AS"
"METRNL",1.74163360730797e-11,2.39659788812828,0.356,0.099,3.59786670597681e-07,"6","METRNL"
"ERN2",1.75749506943079e-11,5.19164506222683,0.11,0.008,3.63063331443012e-07,"6","ERN2"
"CHKA1",2.50391837912991e-11,4.26159248625522,0.164,0.022,5.17259458760658e-07,"6","CHKA"
"APIP1",2.80134191491202e-11,2.85766641739434,0.479,0.2,5.78701212782526e-07,"6","APIP"
"B4GALT51",2.88166953444431e-11,3.03257784792027,0.247,0.05,5.95295292425506e-07,"6","B4GALT5"
"ST6GAL1",3.26533838330142e-11,2.53705179797889,0.356,0.104,6.74553603222407e-07,"6","ST6GAL1"
"RARRES32",3.51559801012284e-11,2.19579017777582,0.616,0.341,7.26252236931175e-07,"6","RARRES3"
"REEP3",3.70294505362204e-11,2.51310904073119,0.438,0.159,7.6495438917724e-07,"6","REEP3"
"NDUFA42",4.01613803537108e-11,1.0816615849079,0.836,0.76,8.29653795346957e-07,"6","NDUFA4"
"CTSD1",4.80699477746995e-11,1.42170285317788,0.753,0.56,9.93028981129742e-07,"6","CTSD"
"HES12",9.85283195942745e-11,2.2064850463215,0.589,0.312,2.03539802617852e-06,"6","HES1"
"SRPK3",1.36220192862157e-10,4.69867681971815,0.11,0.009,2.81403674414643e-06,"6","SRPK3"
"B2M1",2.02848592082624e-10,0.633230490786371,0.986,0.92,4.19044621524285e-06,"6","B2M"
"EFHD2",2.13342858866563e-10,2.17159980665315,0.452,0.169,4.40723677846547e-06,"6","EFHD2"
"CALM2",2.13876005013174e-10,1.32260372495671,0.822,0.714,4.41825051156215e-06,"6","CALM2"
"HEPACAM2",2.16675002686389e-10,5.49896607746361,0.068,0.002,4.47607220549542e-06,"6","HEPACAM2"
"SPINT21",2.25327829988456e-10,1.19026389969955,0.767,0.669,4.65482231190151e-06,"6","SPINT2"
"CFTR",2.38840861293078e-10,4.46558324364473,0.068,0.002,4.93397451259239e-06,"6","CFTR"
"TMEM592",2.69138190446701e-10,1.2068235469846,0.795,0.648,5.55985673824795e-06,"6","TMEM59"
"NDUFB21",3.2991061370613e-10,1.31248128577342,0.795,0.686,6.81529345794124e-06,"6","NDUFB2"
"SGMS2",4.04658117891618e-10,3.61953274905116,0.151,0.021,8.35942739940503e-06,"6","SGMS2"
"EFHD1",4.08520382769639e-10,5.04708947926338,0.082,0.005,8.4392140672552e-06,"6","EFHD1"
"SHROOM3",4.164184600057e-10,5.02597019021461,0.151,0.021,8.60237254679776e-06,"6","SHROOM3"
"LYPD2",4.18505586687991e-10,5.78929794751172,0.082,0.005,8.64548840980052e-06,"6","LYPD2"
"ALCAM1",4.34395245435283e-10,2.78245281304949,0.425,0.168,8.97373698020207e-06,"6","ALCAM"
"GNG41",4.67840250693005e-10,3.20753138712109,0.164,0.025,9.66464389881609e-06,"6","GNG4"
"TRIM16",4.7620370172787e-10,2.7706551070589,0.274,0.067,9.83741607029434e-06,"6","TRIM16"
"SEMA3C1",4.9337565871934e-10,2.93232845640418,0.219,0.045,1.01921543578241e-05,"6","SEMA3C"
"TMEM61",5.81390031572303e-10,3.43892131146761,0.219,0.046,1.20103552722206e-05,"6","TMEM61"
"TMEM8A1",7.466860110613e-10,3.56813391039724,0.178,0.031,1.54250396165043e-05,"6","TMEM8A"
"TEX9",8.32437672443065e-10,2.65759831264241,0.205,0.04,1.71964974373288e-05,"6","TEX9"
"GPX12",1.04522324162663e-09,1.21267752098084,0.767,0.64,2.15922217255228e-05,"6","GPX1"
"LY6E2",1.0856034055797e-09,1.79604551998543,0.726,0.547,2.24263951524654e-05,"6","LY6E"
"GGT61",1.09095713806215e-09,3.40286412358471,0.164,0.026,2.25369925580879e-05,"6","GGT6"
"PLEKHA6",1.18542862861906e-09,6.08362909817674,0.055,0.001,2.44885846100125e-05,"6","PLEKHA6"
"DHRS9",1.18542862861906e-09,7.06947678330336,0.055,0.001,2.44885846100125e-05,"6","DHRS9"
"FOXI1",1.18542862861906e-09,7.6975377707,0.055,0.001,2.44885846100125e-05,"6","FOXI1"
"FAM162B",1.18542862861906e-09,7.56773466641094,0.055,0.001,2.44885846100125e-05,"6","FAM162B"
"COLCA11",1.19244808371624e-09,2.39714387939431,0.411,0.159,2.463359251341e-05,"6","COLCA1"
"CA8",1.21194171139159e-09,6.12622912795665,0.055,0.001,2.50362918739275e-05,"6","CA8"
"TIMP21",1.3815899051158e-09,2.00046391056306,0.288,0.078,2.85408842598822e-05,"6","TIMP2"
"BSND",1.96564507396747e-09,6.88420781339145,0.041,0,4.06062959380199e-05,"6","BSND"
"HGD",1.96564507396747e-09,6.5927353500408,0.041,0,4.06062959380199e-05,"6","HGD"
"LINC01187",1.96564507396747e-09,7.44747410116125,0.041,0,4.06062959380199e-05,"6","LINC01187"
"GRIN1",1.96564507396747e-09,6.94297083167256,0.041,0,4.06062959380199e-05,"6","GRIN1"
"ADGRA1",1.96564507396747e-09,5.78943020467787,0.041,0,4.06062959380199e-05,"6","ADGRA1"
"LINC00284",1.96564507396747e-09,6.10511226870029,0.041,0,4.06062959380199e-05,"6","LINC00284"
"BPIFA2",1.96564507396747e-09,6.88433093509973,0.041,0,4.06062959380199e-05,"6","BPIFA2"
